"File","Line","Literal","Category"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\dashboardComponents\LiveGamesSection.tsx","62","<button
              onClick={() => navigate(""/watch"")}
              className=""text-sm text-emerald-600 dark:text-emerald-400 hover:text-emerald-500 transition-colors font-medium""
            >
              {t(""View All"")} &gt;
            </button>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\dashboardComponents\LiveGamesSection.tsx","120","<span className=""text-gray-400 dark:text-gray-500 ml-1 font-normal text-xs"">
                          ({game.whiteRating})
                        </span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\dashboardComponents\LiveGamesSection.tsx","121","<span className=""text-gray-400 dark:text-gray-500 ml-1 font-normal text-xs"">
                          ({game.whiteRating})
                        </span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\dashboardComponents\LiveGamesSection.tsx","132","<span className=""text-gray-400 dark:text-gray-500 ml-1 font-normal text-xs"">
                          ({game.blackRating})
                        </span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\dashboardComponents\LiveGamesSection.tsx","133","<span className=""text-gray-400 dark:text-gray-500 ml-1 font-normal text-xs"">
                          ({game.blackRating})
                        </span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\dashboardComponents\PuzzlesSection.tsx","88","backgroundColor: ""#8ea8bb""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\dashboardComponents\PuzzlesSection.tsx","89","backgroundColor: ""#dde7ee""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\dashboardComponents\RecentMatchesCard.tsx","163","<div className=""text-xs text-gray-500 dark:text-gray-400"">
                    {match.date} â€¢ {match.timeControl}
                  </div>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\dashboardComponents\RecentMatchesCard.tsx","176","match.ratingChange > 0 ? ""+"" : """"","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\ChessMoveList.tsx","93","textClassName=""truncate""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\ChessMoveList.tsx","200","<span
            className={joinClasses(
              ""w-9 text-gray-400 dark:text-gray-500"",
              moveNumberClassName,
            )}
          >
            {row.moveNumber}.
          </span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\GameBoard.tsx","160","borderRadius: ""8px""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\GameBoard.tsx","161","boxShadow: ""0 4px 20px rgba(0, 0, 0, 0.3)""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\GameOverModal.tsx","306","ease: ""easeOut""","safe_technical"
