
=== YOUR CODE STATISTICS ===

server\server\modules\standings\tournamentStandings.js          252 lines
src\components\replay\explanation\useAiExplanations.ts          250 lines
src\pages\playWithBot\BotGameView.tsx                           249 lines
src\hooks\useWatchPage.ts                                       247 lines
server\server\models\CommunityPost.js                           240 lines
src\hooks\usePositionTopMoves.ts                                240 lines
src\components\game\ChessMoveList.tsx                           235 lines
src\store\settingsStore.ts                                      234 lines
server\server\utils\messageMedia.js                             232 lines
src\components\profilePage\TournamentProfileSection.tsx         230 lines
src\pages\adminBots\useAdminBots.ts                             230 lines
src\data\Puzzle3\buildPuzzleDataset.js                          227 lines
server\server\routes\ratings.js                                 225 lines
server\server\utils\visibility.js                               223 lines
server\server\utils\gameClock.test.js                           222 lines
src\pages\AdminUserProfile.tsx                                  222 lines
src\pages\puzzles\api.ts                                        221 lines
src\pages\messages\components\ConversationSidebar.tsx           213 lines
server\server\seedLeaderboardUsers.js                           211 lines
src\pages\puzzles\PuzzlesGrid.tsx                               211 lines
server\server\middleware\auth.js                                209 lines
server\server\utils\communityGames.js                           208 lines
src\components\learn\LearnCourseCard.tsx                        208 lines
src\pages\adminBots\AnalysisAiModelSelector.tsx                 208 lines
src\pages\adminLearn\api.ts                                     208 lines
src\components\community\CommunityImageGrid.tsx                 207 lines
src\components\dashboardComponents\PuzzlesSection.tsx           207 lines
server\server\routes\admin.js                                   206 lines
server\server\utils\botMedia.js                                 205 lines
src\pages\game\Game.tsx                                         205 lines
server\server\controllers\adminLearnController.js               203 lines
src\components\profilePage\PoolLeaderboardCard.tsx              199 lines
src\pages\adminDashboard\DashboardUsersTable.tsx                195 lines
src\components\dashboardComponents\FormatRatingsCard.tsx        194 lines
src\components\dashboardComponents\RecentMatchesCard.tsx        187 lines
src\components\game\GameBoard.tsx                               187 lines
src\chess\StockfishEngine.ts                                    186 lines
server\server\services\learnMoveValidation.js                   185 lines
public\stockfish.js                                             182 lines
src\components\community\postComposer\GamePickerPanel.tsx       182 lines
src\pages\adminCommunity\components\AdminCommunityToolbar.tsx    182 lines
src\components\community\CommunityUI.tsx                        179 lines
src\utils\groqApi.ts                                            179 lines
src\hooks\gameHistorySaver\useGameHistorySaver.ts               177 lines
src\pages\analyze\ReplayContent.tsx                             172 lines
src\utils\openingExplorer.ts                                    172 lines
server\server\utils\communityLikes.js                           167 lines
src\components\profilePage\types.ts                             166 lines
src\pages\Dashboard.tsx                                         166 lines
src\components\game\newGameRouting.ts                           165 lines
src\pages\playWithFriend\FriendGameView.tsx                     165 lines
server\server\controllers\learnController.js                    164 lines
src\pages\adminAnalyze\AdminReplayContent.tsx                   163 lines
src\components\game\PlayerInfo.tsx                              162 lines
src\hooks\useGameReplay.ts                                      162 lines
src\components\dashboardComponents\LiveGamesSection.tsx         160 lines
src\features\learn\types.ts                                     159 lines
src\pages\Profile.tsx                                           157 lines
server\server\utils\elo.js                                      156 lines
server\server\modules\realtime\tournamentRealtime.js            155 lines
src\components\learn\LessonPanel.tsx                            155 lines
src\components\profile\GameCard.tsx                             155 lines
src\pages\analyze960\ReplayContent960.tsx                       155 lines
src\pages\adminGames\types.ts                                   153 lines
server\server\models\FeaturedEvent.js                           152 lines
src\pages\adminDashboard\AdminDashboard.tsx                     152 lines
src\components\community\postComposer\ComposerActionBar.tsx     150 lines
src\pages\adminLearn\types.ts                                   150 lines
src\store\adminStore.ts                                         149 lines
src\components\ChessTimer.tsx                                   146 lines
src\components\FriendChallengeOverlay.tsx                       146 lines
server\server\services\emailVerification.js                     145 lines
src\data\openings.ts                                            145 lines
server\server\models\Bot.js                                     143 lines
src\components\game\setup\BotSelector.tsx                       143 lines
src\hooks\useRatingsData.ts                                     143 lines
server\server\models\PuzzleAttempt.js                           141 lines
server\server\models\User.js                                    141 lines
src\components\AdminSidebar.tsx                                 141 lines
src\components\community\postComposer\utils.ts                  141 lines
src\components\community\postComposer\SelectedMediaPreview.tsx    140 lines
importPuzzlesDB.js                                              139 lines
server\server\models\History.js                                 139 lines
src\components\replay\chessPieceIcons.tsx                       139 lines
src\utils\moveQuality.ts                                        138 lines
src\pages\adminCommunity\utils.ts                               137 lines
src\pages\puzzleTrainer\utils.ts                                136 lines
src\hooks\moveAnalysis\useStockfishAnalysis.ts                  133 lines
src\hooks\useGameActions.ts                                     133 lines
src\features\learn\api.ts                                       132 lines
src\pages\adminBots\types.ts                                    132 lines
src\pages\adminUsers\UsersTable.tsx                             131 lines
