avg_centipawn_loss,std_centipawn_loss,median_centipawn_loss,max_centipawn_loss,cp_loss_q25,cp_loss_q75,top1_move_rate,blunder_rate,mistake_rate,cp_loss_variance,player_elo,opponent_elo,elo_diff,player_rd,game_length,time_base,won,is_computer
26.485714285714284,39.96167551797699,9.0,180.0,3.0,29.0,0.37142857142857144,0.0,0.08571428571428572,1596.9355102040815,2127,1901,226,34.9,262,300,0.5,1
29.457142857142856,31.842777029957542,21.0,130.0,5.0,46.0,0.2857142857142857,0.0,0.05714285714285714,1013.9624489795917,1901,2127,-226,27.3,262,300,0.5,0
34.2,50.32908843658051,15.0,209.0,0.0,43.0,0.5142857142857142,0.02857142857142857,0.08571428571428572,2533.0171428571425,2192,1881,311,32.3,253,300,1.0,1
32.885714285714286,52.39180493636191,13.0,227.0,0.0,39.0,0.42857142857142855,0.05714285714285714,0.0,2744.901224489796,1881,2192,-311,23.2,253,300,0.0,0
14.838709677419354,22.105460972046714,7.0,114.0,0.5,20.5,0.6451612903225806,0.0,0.03225806451612903,488.6514047866805,2255,2014,241,18.6,61,300,1.0,1
27.533333333333335,50.23460515974576,7.5,257.0,0.0,32.5,0.6333333333333333,0.03333333333333333,0.03333333333333333,2523.5155555555552,2014,2255,-241,22.6,61,300,0.0,0
23.818181818181817,32.1100895551487,5.0,107.0,0.25,43.25,0.5,0.0,0.045454545454545456,1031.0578512396694,2120,1992,128,48.4,43,900,1.0,1
59.38095238095238,138.9163764182906,21.0,662.0,0.0,48.0,0.3333333333333333,0.047619047619047616,0.047619047619047616,19297.759637188206,1992,2120,-128,36.1,43,900,0.0,0
30.8,52.55625557438429,8.0,239.0,0.0,40.5,0.5714285714285714,0.02857142857142857,0.05714285714285714,2762.1599999999994,2066,1955,111,18.8,106,300,0.0,1
23.457142857142856,44.38039648129267,2.0,176.0,0.0,14.0,0.7142857142857143,0.0,0.11428571428571428,1969.6195918367348,1955,2066,-111,20.7,106,300,1.0,0
32.68571428571428,48.79096604236218,15.0,212.0,0.0,39.0,0.37142857142857144,0.02857142857142857,0.05714285714285714,2380.558367346939,2048,2017,31,19.9,89,300,0.0,1
28.314285714285713,33.99644639292375,15.0,117.0,2.0,47.5,0.5714285714285714,0.0,0.05714285714285714,1155.7583673469385,2017,2048,-31,26.5,89,300,1.0,0
19.3125,26.710762695026137,1.5,82.0,0.0,42.0,0.625,0.0,0.0,713.46484375,2113,1889,224,36.1,31,300,1.0,1
686.0666666666667,2477.4294599218942,9.0,9955.0,0.0,50.0,0.4666666666666667,0.06666666666666667,0.0,6137656.728888888,1889,2113,-224,28.0,31,300,0.0,0
56.93939393939394,76.70760674774063,28.0,397.0,1.0,87.0,0.21212121212121213,0.030303030303030304,0.18181818181818182,5884.056932966024,2102,2022,80,27.8,67,900,0.0,1
43.38235294117647,53.572389017589124,20.5,219.0,0.0,70.5,0.3235294117647059,0.029411764705882353,0.11764705882352941,2870.0008650519035,2022,2102,-80,32.0,67,900,1.0,0
40.885714285714286,54.890421453537215,13.0,216.0,2.0,54.5,0.2571428571428571,0.02857142857142857,0.11428571428571428,3012.9583673469388,2052,1962,90,18.1,72,300,0.0,1
28.942857142857143,35.16730856685986,15.0,117.0,0.0,35.5,0.45714285714285713,0.0,0.08571428571428572,1236.7395918367347,1962,2052,-90,25.0,72,300,1.0,0
29.59375,46.10372773363885,3.5,192.0,0.0,38.75,0.5625,0.0,0.09375,2125.5537109375,2292,2346,-54,42.9,65,900,0.5,1
32.24242424242424,53.632323080130824,7.0,215.0,0.0,39.0,0.5757575757575758,0.030303030303030304,0.09090909090909091,2876.4260789715336,2346,2292,54,57.9,65,900,0.5,0
53.371428571428574,64.73598500912797,30.0,303.0,4.5,82.0,0.34285714285714286,0.02857142857142857,0.2,4190.747755102041,2174,2202,-28,39.1,88,60,0.5,1
